project_id,percentile50,percentile70,percentile90,percentile93,percentile94,percentile95,percentile96,percentile98,percentile99
7am4mmt4LdcnHAU,0.5605,1.1996999999999998,3.2066000000000003,4.2241200000000028,4.6280599999999987,4.8648,6.3543199999999986,17.23718,23.625609999999984
4OR3/f2rzIVmbYR,13.986,61.108,183.7176,242.6415600000002,274.93231999999995,318.66939999999994,384.30079999999992,712.46415999999977,746.589
RXWhmCdRYAPZkAa,983.355,1130.9063999999998,2364.1949,2843.3522900000012,2987.3303599999995,3248.1331999999989,3482.9137999999989,3841.0002199999994,4298.3000399999992
nuO3unhmSvfZN+Y,54.505,278.998,803.94200000000012,1258.4595000000002,1471.6479999999997,1602.4059999999993,1871.531999999999,3009.2259999999987,3414.5249999999996
xHTBINLCVX6uvWR,103.97,339.1459999999999,2016.3835000000004,2350.1590500000007,2451.4193,2688.7934999999989,3096.8385999999991,3338.7932,3446.59105
r9i3Xn2fYNP6BWg,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096
7vgx3+gcO+AfGyJ,33.7,288.93169999999992,961.0951,1095.3672200000003,1188.0674799999995,1320.7903999999996,1433.8238399999987,1694.8400199999999,1763.0169799999999
TEwkWTY88ACY85m,5.198,5.7006000000000006,6.5622000000000007,6.6914400000000009,6.73452,6.7776000000000005,6.82068,6.90684,6.9499200000000005
8GGAnrtJMLn0/Qi,34.8,62.091799999999992,149.7794,172.92304000000007,185.16823999999994,195.2262999999999,224.80147999999971,917.4611599999995,1227.9689399999991
oA6aLUZJnQVI2bS,0.055,0.1934,1.0542,2.1334800000000023,2.4323599999999992,3.281399999999993,4.37524,9.5193599999999989,10.791999999999998
R8EcElqOAvYk2Pg,4.56,7.2867999999999995,19.302400000000002,21.861200000000004,22.511959999999981,23.775999999999993,24.974759999999996,27.74524,30.99572
3Vq3hWr/GuQama8,682.46350000000007,834.78769999999975,2373.8399999999997,2944.43835,3141.1994,3330.274449999999,3576.98164,3993.4221799999991,4357.26729
NT+Ww/VqgxF4LHB,1.104,6.7769999999999984,1048.1080000000002,1224.9706000000008,1347.1437999999994,1469.3169999999996,1591.4901999999995,1835.8365999999999,1958.0097999999998
AZvlA5zDWVJP8H6,2747.637,3647.7898,4399.5174000000006,4589.1365600000008,4717.26052,4858.9108,4995.9454,5572.54364,6714.9569599999995
n0UdTRLpfpp2Qet,14.614999999999998,23.801199999999998,26.899600000000003,28.09058000000001,29.893639999999991,31.696699999999993,33.499759999999995,35.55062,36.44081
u/tNz9dJO19ix8a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK/29yDoBqWLRKU,0.004,0.014099999999999998,0.0378,0.075570000000000082,0.0930599999999999,0.11054999999999993,0.12803999999999993,0.16301999999999997,0.18051
QUeqjceH8ZrtNf8,20.768,83.577,224.8752,303.47183000000007,369.40671999999984,459.50954999999936,535.29532,803.63531999999964,970.25396999999975
OMnODpVlTr+/QFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
